Dia;Temperatura Mínima (C);Temperatura Média (C);Temperatura Máxima (C)
01/01/2024;21.40;24.48;27.60
01/02/2024;21.00;23.40;26.70
01/03/2024;22.20;25.96;31.20
01/04/2024;22.40;26.22;30.50
01/05/2024;21.00;25.83;31.70
01/06/2024;19.40;23.42;29.30
01/07/2024;16.00;23.04;31.50
01/08/2024;19.30;24.62;30.60
01/09/2024;18.90;26.88;34.00
01/10/2024;21.70;28.61;35.90
01/11/2024;20.00;23.07;27.50
01/12/2024;21.40;24.91;30.80
02/01/2024;20.70;24.06;28.40
02/02/2024;20.60;23.06;28.20
02/03/2024;21.90;25.83;32.20
02/04/2024;22.60;25.88;30.70
02/05/2024;20.70;25.87;32.50
02/06/2024;17.90;22.56;29.10
02/07/2024;19.00;24.07;31.20
02/08/2024;19.50;23.93;29.90
02/09/2024;19.70;27.25;34.60
02/10/2024;21.40;29.83;37.10
02/11/2024;21.40;24.34;28.80
02/12/2024;21.10;24.80;31.10
03/01/2024;22.40;23.22;25.10
03/02/2024;20.60;23.96;30.00
03/03/2024;21.20;24.25;31.00
03/04/2024;22.30;25.06;29.90
03/05/2024;20.70;26.21;32.70
03/06/2024;19.50;23.22;30.00
03/07/2024;18.90;23.50;30.40
03/08/2024;17.00;22.90;29.60
03/09/2024;19.20;27.22;35.20
03/10/2024;20.20;30.41;38.00
03/11/2024;21.80;24.07;29.70
03/12/2024;21.50;25.19;31.30
04/01/2024;21.70;23.23;26.00
04/02/2024;20.90;25.24;30.90
04/03/2024;20.50;23.04;27.70
04/04/2024;21.30;24.76;31.90
04/05/2024;22.20;26.41;32.50
04/06/2024;17.50;22.94;29.90
04/07/2024;17.70;23.31;30.00
04/08/2024;16.90;22.86;29.90
04/09/2024;19.00;27.54;36.00
04/10/2024;24.20;32.25;39.50
04/11/2024;22.80;26.05;31.70
04/12/2024;21.00;24.46;29.10
05/01/2024;21.50;22.82;25.30
05/02/2024;20.80;23.80;30.70
05/03/2024;22.00;24.90;29.20
05/04/2024;22.20;24.85;30.50
05/05/2024;19.30;24.78;31.20
05/06/2024;17.70;23.22;30.10
05/07/2024;18.00;23.47;30.30
05/08/2024;17.60;23.43;30.10
05/09/2024;19.20;27.69;36.70
05/10/2024;24.00;31.88;38.70
05/11/2024;20.20;21.76;23.60
05/12/2024;20.50;24.60;29.80
06/01/2024;21.20;24.14;29.40
06/02/2024;20.50;24.32;30.80
06/03/2024;21.60;25.31;29.80
06/04/2024;21.50;24.59;32.30
06/05/2024;20.50;25.03;30.20
06/06/2024;17.80;23.25;29.50
06/07/2024;19.40;23.93;30.90
06/08/2024;17.00;23.53;30.70
06/09/2024;21.30;28.34;36.20
06/10/2024;22.20;31.02;38.30
06/11/2024;21.60;24.28;28.60
06/12/2024;21.20;27.19;33.00
07/01/2024;20.40;25.12;30.80
07/02/2024;21.20;24.61;29.40
07/03/2024;22.40;25.36;29.90
07/04/2024;22.00;24.09;27.70
07/05/2024;20.20;25.28;30.60
07/06/2024;18.80;23.44;30.50
07/07/2024;18.00;23.70;31.80
07/08/2024;17.70;24.32;30.50
07/09/2024;21.50;28.18;36.00
07/10/2024;20.80;27.69;35.20
07/11/2024;21.20;23.21;27.30
07/12/2024;21.00;27.72;33.60
08/01/2024;20.90;23.53;27.30
08/02/2024;21.90;24.96;28.50
08/03/2024;21.80;26.36;32.40
08/04/2024;22.60;25.70;30.10
